file_id,entity_id,entity_type,raw_layer,length,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,aspect_ratio,center_x,center_y,start_x,start_y,end_x,end_y,radius,start_angle,end_angle,n_vertices,is_closed,text_content,is_geometric,weak_label
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__0,LINE,WALL,59.52470073440742,44312.18661659133,11395.66267164365,44371.65463917527,11398.25964824669,59.46802258394018,2.5969766030411847,22.898944300961457,44341.9206278833,11396.961159945173,44371.65463917527,11398.25964824669,44312.18661659133,11395.66267164365,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__1,LINE,WALL,16.657517409845646,44247.59066469051,11392.8417576726,44264.23232116756,11393.56850106558,16.641656477047945,0.7267433929791878,22.89894430113453,44255.91149292904,11393.20512936909,44264.23232116756,11393.56850106558,44247.59066469051,11392.8417576726,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__2,LINE,WALL,84.85978252885029,44114.85738841288,11387.04527751471,44199.63636926674,11390.74758709454,84.77898085385823,3.7023095798303984,22.898944301071097,44157.24687883981,11388.896432304624,44199.63636926674,11390.74758709454,44114.85738841288,11387.04527751471,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__3,LINE,WALL,9.039379352462396,44045.04170953054,11383.99641735919,44054.07248177878,11384.39079240677,9.030772248239373,0.3943750475791603,22.8989443010506,44049.55709565466,11384.19360488298,44054.07248177878,11384.39079240677,44045.04170953054,11383.99641735919,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__4,LINE,WALL,28.4999999999974,43923.25220350407,11684.76162711733,43924.66904199204,11713.2263872375,1.4168384879740188,28.464760120170467,0.0497751775174817,43923.96062274805,11698.994007177414,43924.66904199204,11713.2263872375,43923.25220350407,11684.76162711733,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__5,LINE,WALL,155.99999999999787,44012.09982331265,11717.88564673702,44019.85514977313,11873.69275476323,7.755326460479409,155.80710802620888,0.0497751775174137,44015.97748654289,11795.789200750123,44019.85514977313,11873.69275476323,44012.09982331265,11717.88564673702,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__6,LINE,WALL,9.000000000002656,44007.86998761727,11874.28931833711,44008.31741029769,11883.27818995401,0.4474226804231875,8.988871616898905,0.0497751775186155,44008.09369895749,11878.78375414556,44008.31741029769,11883.27818995401,44007.86998761727,11874.28931833711,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__7,LINE,WALL,247.47348815177264,44386.19719428892,11690.4244548625,44398.5,11937.59194526049,12.30280571107869,247.16749039799103,0.0497751775173531,44392.34859714446,11814.008200061497,44398.5,11937.59194526049,44386.19719428892,11690.4244548625,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__8,LINE,WALL,224.97348815178344,44371.65463917527,11398.25964824669,44382.83888818533,11622.95495960245,11.18424901006074,224.6953113557593,0.0497751775174015,44377.24676368031,11510.607303924571,44382.83888818533,11622.95495960245,44371.65463917527,11398.25964824669,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__9,LINE,WALL,229.01436939387517,44377.65574535242,11699.86074915981,44389.04088124211,11928.59194526049,11.385135889686351,228.73119610067988,0.049775177517434,44383.34831329726,11814.226347210151,44389.04088124211,11928.59194526049,44377.65574535242,11699.86074915981,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__10,LINE,WALL,23.9999999999957,44278.77815756656,11704.78239864434,44279.97128471433,11728.75272295606,1.193127147773339,23.970324311720105,0.0497751775177263,44279.37472114044,11716.7675608002,44279.97128471433,11728.75272295606,44278.77815756656,11704.78239864434,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__11,LINE,WALL,23.99999999999534,44274.28372175811,11705.00610998455,44275.47684890588,11728.97643429627,1.193127147766063,23.970324311720105,0.0497751775174227,44274.880285332,11716.99127214041,44275.47684890588,11728.97643429627,44274.28372175811,11705.00610998455,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__12,LINE,WALL,216.7769486878881,44363.07324729804,11406.89347547641,44373.85001656843,11623.40238228286,10.776769270392832,216.5089068064499,0.0497751775174165,44368.461631933234,11515.147928879636,44373.85001656843,11623.40238228286,44363.07324729804,11406.89347547641,,,,,,,True,wall
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__13,LINE,stair-steps,157.97348815178626,44317.60850954202,11459.02160897597,44325.46194526457,11616.7997649615,7.853435722550785,157.77815598553025,0.0497751775174189,44321.53522740329,11537.910686968737,44325.46194526457,11616.7997649615,44317.60850954202,11459.02160897597,,,,,,,True,other
2_bed_house_design_ground_floor_plan_1,2_bed_house_design_ground_floor_plan_1__14,LINE,Boundary Wall,111.00000000000166,44320.45565918752,11455.87617754353,44325.97387224594,11566.73892748526,5.518213058414403,110.86274994172892,0.0497751775173794,44323.21476571673,11511.307552514394,44325.97387224594,11566.73892748526,44320.45565918752,11455.87617754353,,,,,,,True,wall
