file_id,entity_id,entity_type,raw_layer,length,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,aspect_ratio,center_x,center_y,start_x,start_y,end_x,end_y,radius,start_angle,end_angle,n_vertices,is_closed,text_content,is_geometric
3_bhk_house_design_ground_floor_plan,3_bhk_house_design_ground_floor_plan__0,LINE,WALL,14.999999999949068,43493.29356196254,12310.18253401772,43508.29356196249,12310.18253401774,14.999999999949068,2.000888343900442e-11,,43500.79356196252,12310.182534017731,43493.29356196254,12310.18253401774,43508.29356196249,12310.18253401772,,,,,,,True
3_bhk_house_design_ground_floor_plan,3_bhk_house_design_ground_floor_plan__1,LINE,WALL,75.00000000000728,43568.29356196249,12310.18253401754,43643.2935619625,12310.18253401764,75.00000000000728,1.000444171950221e-10,,43605.79356196249,12310.18253401759,43568.29356196249,12310.18253401764,43643.2935619625,12310.18253401754,,,,,,,True
3_bhk_house_design_ground_floor_plan,3_bhk_house_design_ground_floor_plan__2,LINE,WALL,66.00000000004366,43577.29356196248,12301.18253401772,43643.29356196252,12301.18253401777,66.00000000004366,4.9112713895738125e-11,,43610.2935619625,12301.182534017746,43577.29356196248,12301.18253401772,43643.29356196252,12301.18253401777,,,,,,,True
3_bhk_house_design_ground_floor_plan,3_bhk_house_design_ground_floor_plan__3,LINE,WALL,14.999999999941792,43493.29356196255,12301.18253401776,43508.29356196249,12301.18253401779,14.999999999941792,2.9103830456733704e-11,,43500.79356196252,12301.182534017775,43493.29356196255,12301.18253401779,43508.29356196249,12301.18253401776,,,,,,,True
3_bhk_house_design_ground_floor_plan,3_bhk_house_design_ground_floor_plan__4,LINE,stair-steps,48.0,43577.29356196253,12242.18253401776,43625.29356196253,12242.18253401776,48.0,0.0,,43601.29356196253,12242.18253401776,43625.29356196253,12242.18253401776,43577.29356196253,12242.18253401776,,,,,,,True
3_bhk_house_design_ground_floor_plan,3_bhk_house_design_ground_floor_plan__5,LINE,stair-steps,48.0,43577.29356196253,12253.18253401776,43625.29356196253,12253.18253401776,48.0,0.0,,43601.29356196253,12253.18253401776,43625.29356196253,12253.18253401776,43577.29356196253,12253.18253401776,,,,,,,True
3_bhk_house_design_ground_floor_plan,3_bhk_house_design_ground_floor_plan__6,LINE,stair-steps,48.0,43577.29356196253,12231.18253401776,43625.29356196253,12231.18253401776,48.0,0.0,,43601.29356196253,12231.18253401776,43625.29356196253,12231.18253401776,43577.29356196253,12231.18253401776,,,,,,,True
3_bhk_house_design_ground_floor_plan,3_bhk_house_design_ground_floor_plan__7,LINE,stair-steps,48.0,43577.29356196253,12154.18253401776,43625.29356196253,12154.18253401776,48.0,0.0,,43601.29356196253,12154.18253401776,43625.29356196253,12154.18253401776,43577.29356196253,12154.18253401776,,,,,,,True
3_bhk_house_design_ground_floor_plan,3_bhk_house_design_ground_floor_plan__8,LINE,stair-steps,48.0,43577.29356196253,12165.18253401776,43625.29356196253,12165.18253401776,48.0,0.0,,43601.29356196253,12165.18253401776,43625.29356196253,12165.18253401776,43577.29356196253,12165.18253401776,,,,,,,True
3_bhk_house_design_ground_floor_plan,3_bhk_house_design_ground_floor_plan__9,LINE,stair-steps,48.0,43577.29356196253,12176.18253401776,43625.29356196253,12176.18253401776,48.0,0.0,,43601.29356196253,12176.18253401776,43625.29356196253,12176.18253401776,43577.29356196253,12176.18253401776,,,,,,,True
