file_id,entity_id,entity_type,raw_layer,length,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,aspect_ratio,center_x,center_y,start_x,start_y,end_x,end_y,radius,start_angle,end_angle,n_vertices,is_closed,text_content,is_geometric
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__44,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__45,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__46,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__47,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__48,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__49,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__50,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__51,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__52,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__53,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__54,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__55,INSERT,ASHADE,,,,,,,,,,,,,,,,,,,,,False
14553569321167-1 Bed apartment plan,14553569321167-1 Bed apartment plan__56,INSERT,0,,,,,,,,,,,,,,,,,,,,,False
