file_id,entity_id,entity_type,raw_layer,length,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,aspect_ratio,center_x,center_y,start_x,start_y,end_x,end_y,radius,start_angle,end_angle,n_vertices,is_closed,text_content,is_geometric
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__0,LINE,WALL,316.49999999998545,42456.51817404328,12884.18253401775,42773.01817404327,12884.18253401776,316.49999999998545,1.0913936421275139e-11,,42614.768174043274,12884.182534017755,42456.51817404328,12884.18253401776,42773.01817404327,12884.18253401775,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__1,LINE,WALL,108.0,42826.51817404328,12884.18253401775,42934.51817404328,12884.18253401776,108.0,1.0913936421275139e-11,,42880.51817404328,12884.182534017755,42826.51817404328,12884.18253401775,42934.51817404328,12884.18253401776,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__2,HATCH,Tiles,,42645.72650737668,12788.18253401776,42741.80088202857,12875.18253401776,96.07437465188559,87.0,1.1043031569182251,42693.763694702626,12831.68253401776,,,,,,,,,,,False
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__3,LINE,WALL,28.50000000005093,42645.51817404328,12845.18253401775,42674.01817404333,12845.18253401775,28.50000000005093,0.0,,42659.7681740433,12845.18253401775,42645.51817404328,12845.18253401775,42674.01817404333,12845.18253401775,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__4,LINE,WALL,24.000000000007276,42645.51817404328,12840.68253401772,42669.51817404329,12840.68253401772,24.000000000007276,0.0,,42657.51817404329,12840.68253401772,42645.51817404328,12840.68253401772,42669.51817404329,12840.68253401772,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__5,LINE,WALL,298.5000000000364,42465.51817404328,12875.18253401776,42764.01817404332,12875.18253401776,298.5000000000364,0.0,,42614.7681740433,12875.18253401776,42465.51817404328,12875.18253401776,42764.01817404332,12875.18253401776,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__6,HATCH,HATCHING,,42773.01817404327,12818.18253401776,42826.51817404328,12879.68253401775,53.50000000001455,61.499999999989086,0.8699186991873828,42799.768174043274,12848.932534017755,,,,,,,,,,,False
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__7,LINE,stair-railing,53.500000000007276,42773.01817404326,12879.68253401775,42826.51817404327,12879.68253401775,53.500000000007276,0.0,,42799.76817404326,12879.68253401775,42773.01817404326,12879.68253401775,42826.51817404327,12879.68253401775,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__8,LINE,stair-railing,53.500000000007276,42773.01817404326,12884.18253401776,42826.51817404327,12884.18253401776,53.500000000007276,0.0,,42799.76817404326,12884.18253401776,42773.01817404326,12884.18253401776,42826.51817404327,12884.18253401776,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__9,HATCH,Tiles,,42871.51817404328,12779.18253401775,42925.51817404328,12875.18253401776,54.0,96.00000000001091,0.562499999999936,42898.51817404328,12827.182534017755,,,,,,,,,,,False
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__10,LINE,WALL,90.0,42835.51817404328,12875.18253401776,42925.51817404328,12875.18253401776,90.0,0.0,,42880.51817404328,12875.18253401776,42835.51817404328,12875.18253401776,42925.51817404328,12875.18253401776,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__11,LINE,WALL,8.999999999941792,42764.01817404334,12827.18253401776,42773.01817404328,12827.18253401776,8.999999999941792,0.0,,42768.51817404331,12827.18253401776,42764.01817404334,12827.18253401776,42773.01817404328,12827.18253401776,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__12,LINE,WALL,37.500000000010914,42934.51817404328,12846.68253401775,42934.51817404328,12884.18253401776,0.0,37.500000000010914,0.0,42934.51817404328,12865.432534017755,42934.51817404328,12884.18253401776,42934.51817404328,12846.68253401775,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__13,HATCH,Tiles,,42934.51817404326,12666.68253401775,42952.51817404328,12747.68253401775,18.000000000021828,81.0,0.2222222222224917,42943.518174043274,12707.18253401775,,,,,,,,,,,False
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__14,LINE,WALL,73.5,42934.51817404328,12743.18253401775,42934.51817404329,12816.68253401775,7.275957614183426e-12,73.5,9.899262060113504e-14,42934.51817404329,12779.93253401775,42934.51817404328,12816.68253401775,42934.51817404329,12743.18253401775,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__15,LINE,stair-steps,24.000000000010914,42958.51817404327,12860.18253401775,42958.51817404328,12884.18253401776,1.4551915228366852e-11,24.000000000010914,6.063298011816765e-13,42958.518174043274,12872.182534017755,42958.51817404327,12884.18253401776,42958.51817404328,12860.18253401775,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__16,LINE,stair-steps,23.999999999989086,42958.51817404329,12779.18253401776,42958.51817404329,12803.18253401775,0.0,23.999999999989086,0.0,42958.51817404329,12791.182534017755,42958.51817404329,12803.18253401775,42958.51817404329,12779.18253401776,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__17,LINE,WALL,36.0,42934.51817404328,12635.18253401775,42934.51817404329,12671.18253401775,7.275957614183426e-12,36.0,2.0210993372731737e-13,42934.51817404329,12653.18253401775,42934.51817404329,12671.18253401775,42934.51817404328,12635.18253401775,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__18,HATCH,Tiles,,42934.51817404328,12513.6470268539,42952.51817404328,12594.6470268539,18.0,81.0,0.2222222222222222,42943.51817404328,12554.1470268539,,,,,,,,,,,False
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__19,LINE,WALL,48.035507163849616,42934.51817404329,12587.1470268539,42934.51817404329,12635.18253401775,0.0,48.035507163849616,0.0,42934.51817404329,12611.164780435825,42934.51817404329,12635.18253401775,42934.51817404329,12587.1470268539,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__20,HATCH,Tiles,,42934.51817404328,12351.18253401768,42952.51817404329,12432.18253401768,18.000000000007276,81.0,0.22222222222231205,42943.51817404329,12391.68253401768,,,,,,,,,,,False
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__21,LINE,WALL,93.46449283621041,42934.51817404328,12427.68253401769,42934.51817404328,12521.1470268539,0.0,93.46449283621041,0.0,42934.51817404328,12474.414780435794,42934.51817404328,12521.1470268539,42934.51817404328,12427.68253401769,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__22,LINE,WALL,28.5,42925.51817404328,12846.68253401776,42925.51817404328,12875.18253401776,0.0,28.5,0.0,42925.51817404328,12860.93253401776,42925.51817404328,12875.18253401776,42925.51817404328,12846.68253401776,,,,,,,True
3_bhk_house_design_first_floor_plan,3_bhk_house_design_first_floor_plan__23,LINE,WALL,28.499999999989086,42925.51817404328,12788.18253401776,42925.51817404328,12816.68253401775,0.0,28.499999999989086,0.0,42925.51817404328,12802.432534017755,42925.51817404328,12816.68253401775,42925.51817404328,12788.18253401776,,,,,,,True
